Date,Station,Precipitation
1/1/2016,0,0
1/1/2016,1,0
1/1/2016,2,0
1/2/2016,0,0
1/2/2016,1,0
1/2/2016,2,0
1/3/2016,0,0
1/3/2016,1,0
1/3/2016,2,0
1/4/2016,0,0
1/4/2016,1,0
1/4/2016,2,0
1/5/2016,0,0
1/5/2016,1,0
1/5/2016,2,0
1/6/2016,0,0
1/6/2016,1,0
1/6/2016,2,0
1/7/2016,0,0
1/7/2016,1,0.03
1/7/2016,2,0
1/8/2016,0,0.47
1/8/2016,1,0.45
1/8/2016,2,0.56
1/9/2016,0,0.06
1/9/2016,1,0.01
1/9/2016,2,0.02
1/10/2016,0,0
1/10/2016,1,0
1/10/2016,2,0
1/11/2016,0,0
1/11/2016,1,0
1/11/2016,2,0
1/12/2016,0,0
1/12/2016,1,0
1/12/2016,2,0
1/13/2016,0,0
1/13/2016,1,0
1/13/2016,2,0
1/14/2016,0,0
1/14/2016,1,0
1/14/2016,2,0
1/15/2016,0,0
1/15/2016,1,0
1/15/2016,2,0
1/16/2016,0,0.04
1/16/2016,1,0
1/16/2016,2,0
1/17/2016,0,0
1/17/2016,1,0
1/17/2016,2,0
1/18/2016,0,0
1/18/2016,1,0
1/18/2016,2,0
1/19/2016,0,0.05
1/19/2016,1,0
1/19/2016,2,0
1/20/2016,0,0
1/20/2016,1,0
1/20/2016,2,0
1/21/2016,0,0
1/21/2016,1,0
1/21/2016,2,0
1/22/2016,0,0
1/22/2016,1,0
1/22/2016,2,0
1/23/2016,0,0
1/23/2016,1,0
1/23/2016,2,0
1/24/2016,0,0
1/24/2016,1,0
1/24/2016,2,0
1/25/2016,0,0
1/25/2016,1,0
1/25/2016,2,0
1/26/2016,0,0
1/26/2016,1,0
1/26/2016,2,0
1/27/2016,0,0
1/27/2016,1,0
1/27/2016,2,0
1/28/2016,0,0
1/28/2016,1,0
1/28/2016,2,0
1/29/2016,0,0
1/29/2016,1,0
1/29/2016,2,0
1/30/2016,0,0
1/30/2016,1,0.04
1/30/2016,2,0
1/31/2016,0,0
1/31/2016,1,0.05
1/31/2016,2,0.1
2/1/2016,0,0.4
2/1/2016,1,0.45
2/1/2016,2,0.26
2/2/2016,0,0.95
2/2/2016,1,0.49
2/2/2016,2,1.01
2/3/2016,0,0
2/3/2016,1,0
2/3/2016,2,0.03
2/4/2016,0,0
2/4/2016,1,0
2/4/2016,2,0
2/5/2016,0,0
2/5/2016,1,0
2/5/2016,2,0
2/6/2016,0,0
2/6/2016,1,0
2/6/2016,2,0
2/7/2016,0,0
2/7/2016,1,0
2/7/2016,2,0
2/8/2016,0,0
2/8/2016,1,0
2/8/2016,2,0
2/9/2016,0,0
2/9/2016,1,0
2/9/2016,2,0
2/10/2016,0,0
2/10/2016,1,0
2/10/2016,2,0
2/11/2016,0,0
2/11/2016,1,0
2/11/2016,2,0
2/12/2016,0,0
2/12/2016,1,0
2/12/2016,2,0
2/13/2016,0,0
2/13/2016,1,0
2/13/2016,2,0
2/14/2016,0,0
2/14/2016,1,0
2/14/2016,2,0
2/15/2016,0,0
2/15/2016,1,0
2/15/2016,2,0
2/16/2016,0,0
2/16/2016,1,0
2/16/2016,2,0
2/17/2016,0,0
2/17/2016,1,0
2/17/2016,2,0
2/18/2016,0,0
2/18/2016,1,0
2/18/2016,2,0
2/19/2016,0,0.05
2/19/2016,1,0
2/19/2016,2,0
2/20/2016,0,0
2/20/2016,1,0
2/20/2016,2,0
2/21/2016,0,0
2/21/2016,1,0
2/21/2016,2,0
2/22/2016,0,0
2/22/2016,1,0.07
2/22/2016,2,0
2/23/2016,0,0.01
2/23/2016,1,0
2/23/2016,2,0.13
2/24/2016,0,0
2/24/2016,1,0
2/24/2016,2,0
2/25/2016,0,0
2/25/2016,1,0
2/25/2016,2,0
2/26/2016,0,0
2/26/2016,1,0
2/26/2016,2,0
2/27/2016,0,0
2/27/2016,1,0
2/27/2016,2,0
2/28/2016,0,0
2/28/2016,1,0
2/28/2016,2,0
2/29/2016,0,0
2/29/2016,1,0
2/29/2016,2,0
3/1/2016,0,0
3/1/2016,1,0
3/1/2016,2,0
3/2/2016,0,0
3/2/2016,1,0
3/2/2016,2,0
3/3/2016,0,0
3/3/2016,1,0
3/3/2016,2,0
3/4/2016,0,0
3/4/2016,1,0
3/4/2016,2,0
3/5/2016,0,0
3/5/2016,1,0
3/5/2016,2,0
3/6/2016,0,0
3/6/2016,1,0
3/6/2016,2,0
3/7/2016,0,0
3/7/2016,1,0.03
3/7/2016,2,0
3/8/2016,0,0.18
3/8/2016,1,0
3/8/2016,2,0
3/9/2016,0,0
3/9/2016,1,0
3/9/2016,2,0
3/10/2016,0,0
3/10/2016,1,0
3/10/2016,2,0
3/11/2016,0,0
3/11/2016,1,0
3/11/2016,2,0
3/12/2016,0,0
3/12/2016,1,0
3/12/2016,2,0
3/13/2016,0,0
3/13/2016,1,0
3/13/2016,2,0
3/14/2016,0,0
3/14/2016,1,0
3/14/2016,2,0
3/15/2016,0,0
3/15/2016,1,0
3/15/2016,2,0
3/16/2016,0,0
3/16/2016,1,0
3/16/2016,2,0
3/17/2016,0,0.08
3/17/2016,1,0.09
3/17/2016,2,0
3/18/2016,0,0.21
3/18/2016,1,0.47
3/18/2016,2,0.3
3/19/2016,0,0.02
3/19/2016,1,0.02
3/19/2016,2,0.02
3/20/2016,0,0
3/20/2016,1,0
3/20/2016,2,0
3/21/2016,0,0
3/21/2016,1,0
3/21/2016,2,0
3/22/2016,0,0
3/22/2016,1,0
3/22/2016,2,0
3/23/2016,0,0.45
3/23/2016,1,1.44
3/23/2016,2,0.23
3/24/2016,0,0.2
3/24/2016,1,0
3/24/2016,2,0.32
3/25/2016,0,0
3/25/2016,1,0
3/25/2016,2,0
3/26/2016,0,0
3/26/2016,1,0
3/26/2016,2,0
3/27/2016,0,0
3/27/2016,1,0
3/27/2016,2,0
3/28/2016,0,0
3/28/2016,1,0
3/28/2016,2,0
3/29/2016,0,0
3/29/2016,1,0.01
3/29/2016,2,0
3/30/2016,0,0.23
3/30/2016,1,0.22
3/30/2016,2,0
3/31/2016,0,0.16
3/31/2016,1,0
3/31/2016,2,0
4/1/2016,0,0
4/1/2016,1,0
4/1/2016,2,0
4/2/2016,0,0
4/2/2016,1,0
4/2/2016,2,0
4/3/2016,0,0
4/3/2016,1,0
4/3/2016,2,0
4/4/2016,0,0
4/4/2016,1,0
4/4/2016,2,0
4/5/2016,0,0
4/5/2016,1,0
4/5/2016,2,0
4/6/2016,0,0
4/6/2016,1,0
4/6/2016,2,0
4/7/2016,0,0
4/7/2016,1,0
4/7/2016,2,0
4/8/2016,0,0
4/8/2016,1,0
4/8/2016,2,0
4/9/2016,0,0
4/9/2016,1,0
4/9/2016,2,0
4/10/2016,0,0
4/10/2016,1,0.09
4/10/2016,2,0
4/11/2016,0,0.22
4/11/2016,1,0.11
4/11/2016,2,0.04
4/12/2016,0,0
4/12/2016,1,0
4/12/2016,2,0
4/13/2016,0,0
4/13/2016,1,0
4/13/2016,2,0
4/14/2016,0,0.01
4/14/2016,1,0
4/14/2016,2,0
4/15/2016,0,0
4/15/2016,1,0.11
4/15/2016,2,0
4/16/2016,0,0.16
4/16/2016,1,0.59
4/16/2016,2,0.02
4/17/2016,0,0.68
4/17/2016,1,0.73
4/17/2016,2,0.18
4/18/2016,0,0.03
4/18/2016,1,0
4/18/2016,2,0
4/19/2016,0,0
4/19/2016,1,0
4/19/2016,2,0
4/20/2016,0,0
4/20/2016,1,0
4/20/2016,2,0
4/21/2016,0,0
4/21/2016,1,0
4/21/2016,2,0
4/22/2016,0,0
4/22/2016,1,0
4/22/2016,2,0
4/23/2016,0,0
4/23/2016,1,0
4/23/2016,2,0
4/24/2016,0,0
4/24/2016,1,0
4/24/2016,2,0
4/25/2016,0,0
4/25/2016,1,0
4/25/2016,2,0
4/26/2016,0,1.11
4/26/2016,1,0.36
4/26/2016,2,0
4/27/2016,0,0.09
4/27/2016,1,0
4/27/2016,2,0
4/28/2016,0,0
4/28/2016,1,0.06
4/28/2016,2,0
4/29/2016,0,0.39
4/29/2016,1,0.39
4/29/2016,2,0.37
4/30/2016,0,0.35
4/30/2016,1,0.31
4/30/2016,2,0.44
5/1/2016,0,0.11
5/1/2016,1,0.05
5/1/2016,2,0.02
5/2/2016,0,0
5/2/2016,1,0
5/2/2016,2,0
5/3/2016,0,0
5/3/2016,1,0
5/3/2016,2,0
5/4/2016,0,0
5/4/2016,1,0
5/4/2016,2,0
5/5/2016,0,0
5/5/2016,1,0
5/5/2016,2,0
5/6/2016,0,0
5/6/2016,1,0
5/6/2016,2,0
5/7/2016,0,0.22
5/7/2016,1,0.65
5/7/2016,2,0
5/8/2016,0,1.01
5/8/2016,1,0
5/8/2016,2,0.4
5/9/2016,0,0.12
5/9/2016,1,0.03
5/9/2016,2,0
5/10/2016,0,0.11
5/10/2016,1,0.03
5/10/2016,2,0.17
5/11/2016,0,0
5/11/2016,1,0.02
5/11/2016,2,0.17
5/12/2016,0,0
5/12/2016,1,0
5/12/2016,2,0.01
5/13/2016,0,0
5/13/2016,1,0
5/13/2016,2,0
5/14/2016,0,0.03
5/14/2016,1,0.06
5/14/2016,2,0.11
5/15/2016,0,0.07
5/15/2016,1,0.05
5/15/2016,2,0.01
5/16/2016,0,0.31
5/16/2016,1,0.67
5/16/2016,2,0.09
5/17/2016,0,1.14
5/17/2016,1,0.17
5/17/2016,2,0.28
5/18/2016,0,0.18
5/18/2016,1,0.02
5/18/2016,2,0.1
5/19/2016,0,0
5/19/2016,1,0
5/19/2016,2,0
5/20/2016,0,0.03
5/20/2016,1,0
5/20/2016,2,0.02
5/21/2016,0,0
5/21/2016,1,0
5/21/2016,2,0
5/22/2016,0,0
5/22/2016,1,0
5/22/2016,2,0
5/23/2016,0,0
5/23/2016,1,0
5/23/2016,2,0
5/24/2016,0,0.01
5/24/2016,1,0
5/24/2016,2,0
5/25/2016,0,0.11
5/25/2016,1,0
5/25/2016,2,0
5/26/2016,0,0
5/26/2016,1,0.01
5/26/2016,2,0
5/27/2016,0,0.36
5/27/2016,1,0
5/27/2016,2,0
5/28/2016,0,0.01
5/28/2016,1,0.01
5/28/2016,2,0.16
5/29/2016,0,0.01
5/29/2016,1,0
5/29/2016,2,0.01
5/30/2016,0,0.02
5/30/2016,1,0.05
5/30/2016,2,0
5/31/2016,0,0.07
5/31/2016,1,0.02
5/31/2016,2,0
6/1/2016,0,0
6/1/2016,1,0
6/1/2016,2,0
6/2/2016,0,0
6/2/2016,1,0
6/2/2016,2,0
6/3/2016,0,0
6/3/2016,1,0
6/3/2016,2,0
6/4/2016,0,0
6/4/2016,1,0
6/4/2016,2,0
6/5/2016,0,0
6/5/2016,1,0
6/5/2016,2,0
6/6/2016,0,0
6/6/2016,1,0
6/6/2016,2,0
6/7/2016,0,0.06
6/7/2016,1,0.02
6/7/2016,2,0.05
6/8/2016,0,0.01
6/8/2016,1,0
6/8/2016,2,0
6/9/2016,0,0.02
6/9/2016,1,0
6/9/2016,2,0
6/10/2016,0,0.02
6/10/2016,1,0
6/10/2016,2,0
6/11/2016,0,0
6/11/2016,1,0
6/11/2016,2,0
6/12/2016,0,0.06
6/12/2016,1,0
6/12/2016,2,0
6/13/2016,0,0.11
6/13/2016,1,0
6/13/2016,2,0
6/14/2016,0,0.07
6/14/2016,1,0.02
6/14/2016,2,0
6/15/2016,0,0
6/15/2016,1,0
6/15/2016,2,0
6/16/2016,0,0
6/16/2016,1,0
6/16/2016,2,0
6/17/2016,0,0
6/17/2016,1,0
6/17/2016,2,0
6/18/2016,0,0
6/18/2016,1,0
6/18/2016,2,0
6/19/2016,0,0
6/19/2016,1,0
6/19/2016,2,0
6/20/2016,0,0
6/20/2016,1,0
6/20/2016,2,0
6/21/2016,0,0
6/21/2016,1,0
6/21/2016,2,0
6/22/2016,0,0
6/22/2016,1,0
6/22/2016,2,0
6/23/2016,0,0
6/23/2016,1,0
6/23/2016,2,0
6/24/2016,0,0.47
6/24/2016,1,0
6/24/2016,2,0.05
6/25/2016,0,0.09
6/25/2016,1,0.01
6/25/2016,2,0.12
6/26/2016,0,0
6/26/2016,1,0
6/26/2016,2,0.12
6/27/2016,0,0
6/27/2016,1,0
6/27/2016,2,0
6/28/2016,0,0
6/28/2016,1,0
6/28/2016,2,0
6/29/2016,0,0
6/29/2016,1,0
6/29/2016,2,0
6/30/2016,0,0.15
6/30/2016,1,0
6/30/2016,2,0.04
7/1/2016,0,0.72
7/1/2016,1,0.06
7/1/2016,2,0.11
7/2/2016,0,0.3
7/2/2016,1,0
7/2/2016,2,0.08
7/3/2016,0,0.13
7/3/2016,1,0.03
7/3/2016,2,0
7/4/2016,0,0
7/4/2016,1,0
7/4/2016,2,0
7/5/2016,0,0.02
7/5/2016,1,0.07
7/5/2016,2,0
7/6/2016,0,0.02
7/6/2016,1,0.06
7/6/2016,2,0
7/7/2016,0,0
7/7/2016,1,0
7/7/2016,2,0
7/8/2016,0,0
7/8/2016,1,0
7/8/2016,2,0
7/9/2016,0,0
7/9/2016,1,0.01
7/9/2016,2,0
7/10/2016,0,0
7/10/2016,1,0
7/10/2016,2,0
7/11/2016,0,0
7/11/2016,1,0
7/11/2016,2,0
7/12/2016,0,0
7/12/2016,1,0
7/12/2016,2,0
7/13/2016,0,0
7/13/2016,1,0
7/13/2016,2,0
7/14/2016,0,0
7/14/2016,1,0
7/14/2016,2,0
7/15/2016,0,0
7/15/2016,1,0.02
7/15/2016,2,0
7/16/2016,0,0
7/16/2016,1,0
7/16/2016,2,0
7/17/2016,0,0
7/17/2016,1,0
7/17/2016,2,0
7/18/2016,0,0
7/18/2016,1,0.01
7/18/2016,2,0
7/19/2016,0,0.02
7/19/2016,1,0
7/19/2016,2,0.02
7/20/2016,0,0.04
7/20/2016,1,0.1
7/20/2016,2,0.02
7/21/2016,0,0.02
7/21/2016,1,0
7/21/2016,2,0
7/22/2016,0,0
7/22/2016,1,0.15
7/22/2016,2,0
7/23/2016,0,0.73
7/23/2016,1,0.27
7/23/2016,2,0
7/24/2016,0,0.07
7/24/2016,1,0
7/24/2016,2,0
7/25/2016,0,0
7/25/2016,1,0
7/25/2016,2,0.01
7/26/2016,0,0
7/26/2016,1,0
7/26/2016,2,0
7/27/2016,0,0
7/27/2016,1,0
7/27/2016,2,0
7/28/2016,0,0
7/28/2016,1,0
7/28/2016,2,0
7/29/2016,0,0.02
7/29/2016,1,0
7/29/2016,2,0
7/30/2016,0,0
7/30/2016,1,0
7/30/2016,2,0
7/31/2016,0,0.01
7/31/2016,1,0.13
7/31/2016,2,0.01
8/1/2016,0,0.07
8/1/2016,1,0
8/1/2016,2,0
8/2/2016,0,0
8/2/2016,1,0
8/2/2016,2,0
8/3/2016,0,0
8/3/2016,1,0.01
8/3/2016,2,0
8/4/2016,0,0
8/4/2016,1,0.07
8/4/2016,2,0
8/5/2016,0,0.11
8/5/2016,1,0.01
8/5/2016,2,0
8/6/2016,0,0.03
8/6/2016,1,0.02
8/6/2016,2,0
8/7/2016,0,0.03
8/7/2016,1,0.05
8/7/2016,2,0.01
8/8/2016,0,0
8/8/2016,1,0
8/8/2016,2,0
8/9/2016,0,0
8/9/2016,1,0
8/9/2016,2,0
8/10/2016,0,0.01
8/10/2016,1,0.19
8/10/2016,2,0
8/11/2016,0,0.12
8/11/2016,1,0
8/11/2016,2,0.2
8/12/2016,0,0.06
8/12/2016,1,0.01
8/12/2016,2,0.03
8/13/2016,0,0.06
8/13/2016,1,0.01
8/13/2016,2,0
8/14/2016,0,0.14
8/14/2016,1,0
8/14/2016,2,0
8/15/2016,0,0
8/15/2016,1,0
8/15/2016,2,0
8/16/2016,0,0
8/16/2016,1,0
8/16/2016,2,0
8/17/2016,0,0
8/17/2016,1,0
8/17/2016,2,0
8/18/2016,0,0
8/18/2016,1,0.01
8/18/2016,2,0
8/19/2016,0,0.04
8/19/2016,1,0.16
8/19/2016,2,0
8/20/2016,0,0.19
8/20/2016,1,0
8/20/2016,2,0.13
8/21/2016,0,0
8/21/2016,1,0
8/21/2016,2,0
8/22/2016,0,0
8/22/2016,1,0
8/22/2016,2,0
8/23/2016,0,0
8/23/2016,1,0
8/23/2016,2,0
8/24/2016,0,0.01
8/24/2016,1,0.03
8/24/2016,2,0
8/25/2016,0,0
8/25/2016,1,0.05
8/25/2016,2,0.05
8/26/2016,0,0.02
8/26/2016,1,0.01
8/26/2016,2,0.02
8/27/2016,0,0
8/27/2016,1,0
8/27/2016,2,0.08
8/28/2016,0,0
8/28/2016,1,0
8/28/2016,2,0
8/29/2016,0,0
8/29/2016,1,0.13
8/29/2016,2,0
8/30/2016,0,0
8/30/2016,1,0
8/30/2016,2,0.01
8/31/2016,0,0
8/31/2016,1,0
8/31/2016,2,0
9/1/2016,0,0
9/1/2016,1,0
9/1/2016,2,
9/2/2016,0,0
9/2/2016,1,0.02
9/2/2016,2,0
9/3/2016,0,0.06
9/3/2016,1,0
9/3/2016,2,0
9/4/2016,0,0.01
9/4/2016,1,0.02
9/4/2016,2,0.02
9/5/2016,0,0
9/5/2016,1,0
9/5/2016,2,0
9/6/2016,0,0
9/6/2016,1,0
9/6/2016,2,0
9/7/2016,0,0
9/7/2016,1,0
9/7/2016,2,0
9/8/2016,0,0
9/8/2016,1,0
9/8/2016,2,0
9/9/2016,0,0
9/9/2016,1,0
9/9/2016,2,0
9/10/2016,0,0
9/10/2016,1,0
9/10/2016,2,0
9/11/2016,0,0
9/11/2016,1,0
9/11/2016,2,0
9/12/2016,0,0
9/12/2016,1,0
9/12/2016,2,0
9/13/2016,0,0.06
9/13/2016,1,0.12
9/13/2016,2,0.11
9/14/2016,0,0.05
9/14/2016,1,0
9/14/2016,2,0.05
9/15/2016,0,0
9/15/2016,1,0
9/15/2016,2,
9/16/2016,0,0.02
9/16/2016,1,0
9/16/2016,2,0
9/17/2016,0,0
9/17/2016,1,0
9/17/2016,2,0
9/18/2016,0,0
9/18/2016,1,0
9/18/2016,2,0
9/19/2016,0,0
9/19/2016,1,0
9/19/2016,2,0
9/20/2016,0,0
9/20/2016,1,0
9/20/2016,2,0
9/21/2016,0,0
9/21/2016,1,0
9/21/2016,2,0
9/22/2016,0,0
9/22/2016,1,0
9/22/2016,2,0
9/23/2016,0,0.03
9/23/2016,1,0
9/23/2016,2,0
9/24/2016,0,0.23
9/24/2016,1,0.03
9/24/2016,2,0
9/25/2016,0,0
9/25/2016,1,0
9/25/2016,2,0
9/26/2016,0,0
9/26/2016,1,0
9/26/2016,2,0
9/27/2016,0,0
9/27/2016,1,0
9/27/2016,2,0
9/28/2016,0,0
9/28/2016,1,0
9/28/2016,2,0
9/29/2016,0,0
9/29/2016,1,0
9/29/2016,2,0
9/30/2016,0,0
9/30/2016,1,0
9/30/2016,2,0
10/1/2016,0,0.03
10/1/2016,1,0
10/1/2016,2,0
10/2/2016,0,0
10/2/2016,1,0
10/2/2016,2,0
10/3/2016,0,0
10/3/2016,1,0
10/3/2016,2,0
10/4/2016,0,0.01
10/4/2016,1,0
10/4/2016,2,0
10/5/2016,0,0
10/5/2016,1,0
10/5/2016,2,0
10/6/2016,0,0.03
10/6/2016,1,0.12
10/6/2016,2,0.04
10/7/2016,0,0
10/7/2016,1,0
10/7/2016,2,0.06
10/8/2016,0,0
10/8/2016,1,0
10/8/2016,2,0
10/9/2016,0,0
10/9/2016,1,0
10/9/2016,2,0
10/10/2016,0,0
10/10/2016,1,0
10/10/2016,2,0
10/11/2016,0,0
10/11/2016,1,0
10/11/2016,2,0
10/12/2016,0,0.02
10/12/2016,1,0.13
10/12/2016,2,0.1
10/13/2016,0,0
10/13/2016,1,0
10/13/2016,2,0
10/14/2016,0,0
10/14/2016,1,0
10/14/2016,2,0
10/15/2016,0,0
10/15/2016,1,0
10/15/2016,2,0
10/16/2016,0,0
10/16/2016,1,0
10/16/2016,2,0
10/17/2016,0,0
10/17/2016,1,0
10/17/2016,2,0
10/18/2016,0,0
10/18/2016,1,0
10/18/2016,2,0
10/19/2016,0,0.18
10/19/2016,1,0.06
10/19/2016,2,0.08
10/20/2016,0,0.01
10/20/2016,1,0
10/20/2016,2,0
10/21/2016,0,0
10/21/2016,1,0
10/21/2016,2,0
10/22/2016,0,0
10/22/2016,1,0
10/22/2016,2,0
10/23/2016,0,0
10/23/2016,1,0
10/23/2016,2,0
10/24/2016,0,0
10/24/2016,1,0
10/24/2016,2,0
10/25/2016,0,0
10/25/2016,1,0
10/25/2016,2,0
10/26/2016,0,0
10/26/2016,1,0
10/26/2016,2,0
10/27/2016,0,0
10/27/2016,1,0
10/27/2016,2,0
10/28/2016,0,0
10/28/2016,1,0
10/28/2016,2,0
10/29/2016,0,0
10/29/2016,1,0
10/29/2016,2,0
10/30/2016,0,0
10/30/2016,1,0
10/30/2016,2,0
10/31/2016,0,0
10/31/2016,1,0
10/31/2016,2,0
11/1/2016,0,0
11/1/2016,1,0
11/1/2016,2,0
11/2/2016,0,0.03
11/2/2016,1,0.01
11/2/2016,2,0
11/3/2016,0,0
11/3/2016,1,0
11/3/2016,2,0
11/4/2016,0,0
11/4/2016,1,0
11/4/2016,2,0
11/5/2016,0,0
11/5/2016,1,0
11/5/2016,2,0
11/6/2016,0,0
11/6/2016,1,0
11/6/2016,2,0
11/7/2016,0,0
11/7/2016,1,0
11/7/2016,2,0
11/8/2016,0,0
11/8/2016,1,0
11/8/2016,2,0
11/9/2016,0,0
11/9/2016,1,0
11/9/2016,2,0
11/10/2016,0,0
11/10/2016,1,0
11/10/2016,2,0
11/11/2016,0,0
11/11/2016,1,0
11/11/2016,2,0
11/12/2016,0,0
11/12/2016,1,0
11/12/2016,2,0
11/13/2016,0,0
11/13/2016,1,0
11/13/2016,2,0
11/14/2016,0,0
11/14/2016,1,0
11/14/2016,2,0
11/15/2016,0,0
11/15/2016,1,0
11/15/2016,2,0
11/16/2016,0,0
11/16/2016,1,0
11/16/2016,2,0
11/17/2016,0,0
11/17/2016,1,0.2
11/17/2016,2,0
11/18/2016,0,0.14
11/18/2016,1,0
11/18/2016,2,0.17
11/19/2016,0,0
11/19/2016,1,0
11/19/2016,2,0
11/20/2016,0,0
11/20/2016,1,0
11/20/2016,2,0
11/21/2016,0,0
11/21/2016,1,0
11/21/2016,2,0
11/22/2016,0,0.03
11/22/2016,1,0.22
11/22/2016,2,0.17
11/23/2016,0,0
11/23/2016,1,0
11/23/2016,2,0
11/24/2016,0,0
11/24/2016,1,0
11/24/2016,2,0
11/25/2016,0,0
11/25/2016,1,0
11/25/2016,2,0
11/26/2016,0,0
11/26/2016,1,0
11/26/2016,2,0
11/27/2016,0,0
11/27/2016,1,0
11/27/2016,2,0
11/28/2016,0,0
11/28/2016,1,0
11/28/2016,2,0
11/29/2016,0,0
11/29/2016,1,0
11/29/2016,2,0
11/30/2016,0,0
11/30/2016,1,0
11/30/2016,2,0
12/1/2016,0,0
12/1/2016,1,0
12/1/2016,2,0
12/2/2016,0,0
12/2/2016,1,0
12/2/2016,2,0
12/3/2016,0,0
12/3/2016,1,0
12/3/2016,2,0
12/4/2016,0,0
12/4/2016,1,0
12/4/2016,2,0
12/5/2016,0,0
12/5/2016,1,0
12/5/2016,2,0
12/6/2016,0,0
12/6/2016,1,0
12/6/2016,2,0
12/7/2016,0,0.11
12/7/2016,1,0.18
12/7/2016,2,0.26
12/8/2016,0,0.01
12/8/2016,1,0
12/8/2016,2,0
12/9/2016,0,0
12/9/2016,1,0
12/9/2016,2,0
12/10/2016,0,0
12/10/2016,1,0
12/10/2016,2,0
12/11/2016,0,0.01
12/11/2016,1,0.03
12/11/2016,2,0.05
12/12/2016,0,0
12/12/2016,1,0
12/12/2016,2,0.02
12/13/2016,0,0
12/13/2016,1,0
12/13/2016,2,0
12/14/2016,0,0
12/14/2016,1,0
12/14/2016,2,0
12/15/2016,0,0.05
12/15/2016,1,0
12/15/2016,2,0
12/16/2016,0,0
12/16/2016,1,0.08
12/16/2016,2,0
12/17/2016,0,0.12
12/17/2016,1,0.2
12/17/2016,2,0.46
12/18/2016,0,0
12/18/2016,1,0
12/18/2016,2,0
12/19/2016,0,0
12/19/2016,1,0
12/19/2016,2,0
12/20/2016,0,0
12/20/2016,1,0
12/20/2016,2,0
12/21/2016,0,0
12/21/2016,1,0
12/21/2016,2,0
12/22/2016,0,0
12/22/2016,1,0
12/22/2016,2,0
12/23/2016,0,0
12/23/2016,1,0
12/23/2016,2,0
12/24/2016,0,0
12/24/2016,1,0
12/24/2016,2,0
12/25/2016,0,0
12/25/2016,1,0.03
12/25/2016,2,0
12/26/2016,0,0.24
12/26/2016,1,0
12/26/2016,2,0
12/27/2016,0,0
12/27/2016,1,0
12/27/2016,2,0
12/28/2016,0,0
12/28/2016,1,0
12/28/2016,2,0
12/29/2016,0,0.01
12/29/2016,1,0
12/29/2016,2,0
12/30/2016,0,0
12/30/2016,1,0
12/30/2016,2,0
12/31/2016,0,0
12/31/2016,1,0
12/31/2016,2,0
1/1/2017,0,0
1/1/2017,1,0
1/1/2017,2,0
